NOM,PRENOM,EMAIL,ADRESSE,"CODE POSTAL",VILLE,PAYS,EMPLOI,"ADRESSE IP"
bouthier,patrice,contact@informatux.com,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan,muriel,cosimuti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan,muriel,cosimuti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan,muriel,cosimuti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
bouthier,patrice,contact@informatux.com,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
bouthier2,patrice2,contact2@informatux.com,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan2,muriel,cosimuti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan22,muriel,cosimuti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan223,muriel,cosimuti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan2233,muriel,cosimuti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan22333,muriel,cosimuti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan223335,muriel,cosimuti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan223335,muriel,2cosimuti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan223335,muriel,2cdosimuti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan223335,muriele,2cdosimdduti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan223335,murieled,2cdosimdduti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
madoyan223335,murielede,2cdosimdduti@wanadoo.fr,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,127.0.0.1
BOUTHIER,méline,etudiante@etudiante.com,"le hameau marie",27560,"st georges du mesnil",FR,étudiante,192.168.1.167
madoyan,laurent,laurent@madoyan.fr,"le hameau marie",27560,"st georges du mesnil",FI,web,192.168.1.172
madoyan,krikor,laurent@madoyan.fr,"le hameau marie",27560,"st georges du mesnil",FI,web,192.168.1.172
madoyane,krikore,laurent@madoyan.fr,"le hameau marie",27560,"st georges du mesnil",FI,web,192.168.1.172
madoyane,krikore,contact@informatux.com,"le hameau marie",27560,"st georges du mesnil",FI,web,192.168.1.172
madoyanen,krikoren,contact@informatux.com,"le hameau marie",27560,"st georges du mesnil",FI,web,192.168.1.172
madoyanene,krikorene,contact@informatux.com,"le hameau marie",27560,"st georges du mesnil",FI,web,192.168.1.172
madoyanenen,krikorenen,contact@informatux.com,"le hameau marie",27560,"st georges du mesnil",FI,web,192.168.1.172
madoyanenenian,krikorenenik,contact@informatux.com,"le hameau marie",27560,"st georges du mesnil",FI,web,192.168.1.172
boutanche,patricio,contact@informatux.com,"le hameau marie",27560,"st georges du mesnil",FR,webmaster,192.168.1.165
boutafier,PATRICE,contact@informatux.com,"le hameau marie",27560,"ST GEORGES DU MESNIL",GF,web,192.168.1.165
boutafier,PATRICETTE,contact@informatux.com,"le hameau marie",27560,"ST GEORGES DU MESNIL",GF,web,192.168.1.165
BOUTAFIERETTE,patricettenoutte,contact@informatux.com,"le hameau marie",27560,"ST GEORGES DU MESNIL",GF,web,192.168.1.165
POUTAFOUETTE,julie,contact@informatux.com,"le hameau marie",27560,"ST GEORGES DU MESNIL",DJ,web,192.168.1.165
CRASTAFOUETTE,julie,contact@informatux.com,"le hameau marie",27560,"ST GEORGES DU MESNIL",DJ,web,192.168.1.165
CRASTAFOUETTE2,julie,contact@informatux.com,"le hameau marie",27560,"ST GEORGES DU MESNIL",DJ,web,192.168.1.165
CRASTAFOUETTE2275,juliette,contact@informatux.com,"le hameau marie",27560,"ST GEORGES DU MESNIL",DJ,web,192.168.1.165
BUCHET,marie,contact@informatux.com,"le hameau marie",27560,"ST GEORGES DU MESNIL",DJ,web,192.168.1.165
